ID,acids,property
29168511,O=C(O)Cc1cc(=O)oc2cc(O)ccc12,98.0
36904709,C[C@@H](O)c1cccc(-c2ccc(OCC(=O)O)cc2)n1,23.0
29795543,CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O)c1cc(OC)c(OC)c(OC)c1,55.0
36896966,CC(C)(C)OC(=O)N1C[C@@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C[C@H]1C(=O)O,87.0
35900298,COc1cccc(S(=O)(=O)Nc2ccccc2C(=O)O)c1,67.9
32365687,Cc1cc2occ(C=CC(=O)O)c(=O)c2cc1Cl,89.0
29001156,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O,94.0
28535359,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](C(=O)O)C[C@]21C,51.0
41261476,COc1ccc2[nH]cc(-c3nc(C(=O)O)cs3)c2c1,78.0
23401978,O=C(O)c1cc2cc(Cl)ccc2[nH]1,94.0
36910707,CCCOCC(=O)O,78.0
4513431,O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCc1ccccc1,82.0
8616052,CC(C)(C)OC(=O)Nc1ccc(C(=O)O)cc1,62.0
10390864,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,82.0
26000494,CC(C)(C)C(=O)CN1C(=O)N(CC(=O)O)C(=O)N(C2CCCCC2)c2ccccc21,89.0
51055629,C#CCN(C)Cc1cn(Cc2c(F)c(F)c(F)c(F)c2F)c2cc(C(=O)O)ccc12,50.0
27986370,CC(C(=O)O)(c1ccccc1)c1ccccc1,82.0
1629070,CC(C)(C)OC(=O)NCC(=O)O,73.0
5284961,CC(NOCc1cccc(Cl)c1)C(=O)O,43.0
29699220,CN1C(=O)C(c2c[nH]c3ccccc23)=C(c2cn(CC(=O)O)c3ccccc23)C1=O,72.0
